GenericId,NameType,Flavor,NumericId,NameId,DupSort,AliasFlag,Flags,Deprecation,Remarks,Comment
100000000,1,1,0,"EPSG",0,0,0,0,,
200000000,1,2,0,"ESRI",0,0,0,0,,
300000000,1,3,0,"Oracle",0,0,0,0,,
400000000,1,4,0,"Autodesk",0,0,0,0,,
500000000,1,5,0,"Bentley",0,0,0,0,,
600000000,1,6,0,"Safe",0,0,0,0,,
700000000,1,7,0,"MapInfo",0,0,0,0,,
800000000,1,8,0,"Ctmx",0,0,0,0,,
900000000,1,9,0,"CsMap",0,0,0,0,,
1000000000,1,10,0,"OGC",0,0,0,0,,
1100000000,1,11,0,"OCR",0,0,0,0,,
1200000000,1,12,0,"GeoTiff",0,0,0,0,,
1300000000,1,13,0,"GeoTools",0,0,0,0,,
1400000000,1,14,0,"Oracle9",0,0,0,0,,
1500000000,1,15,0,"IBM",0,0,0,0,,
1600000000,1,16,0,"OEM",0,0,0,0,,
1700000000,1,17,0,"Anon01",0,0,0,0,,
1800000000,1,18,0,"Anon02",0,0,0,0,,
1900000000,1,19,0,"Anon03",0,0,0,0,,
2000000000,1,20,0,"Anon04",0,0,0,0,,
2100000000,1,21,0,"Anon05",0,0,0,0,,
2200000000,1,22,0,"Anon06",0,0,0,0,,
2300000000,1,23,0,"Anon07",0,0,0,0,,
2400000000,1,24,0,"Anon08",0,0,0,0,,
2500000000,1,25,0,"Anon09",0,0,0,0,,
2600000000,1,26,0,"Anon10",0,0,0,0,,
2700000000,1,27,0,"Anon11",0,0,0,0,,
2800000000,1,28,0,"Anon12",0,0,0,0,,
2900000000,1,29,0,"Anon13",0,0,0,0,,
3000000000,1,30,0,"User",0,0,0,0,,
3100000000,1,31,0,"Legacy",0,0,0,0,,
1038,2,EPSG,1038,"Ellipsoid scaling factor",0,0,0,0,,
1038,2,Autodesk,0,"Ellipsoid scaling factor",0,0,0,0,,
1038,2,CsMap,48,"Ellipsoid scaling factor",0,0,0,0,,
1038,2,OGC,0,"ellipsoid_scaling_factor",0,0,0,0,,
1038,2,OCR,0,"ellipsoid_scaling_factor",0,0,0,0,,
8605,2,EPSG,8605,"X-axis translation",0,0,0,0,,
8605,2,ESRI,0,"X_Axis_Translation",0,0,0,0,,
8605,2,Oracle,0,"X Axis Translation",0,0,0,0,,
8605,2,Autodesk,0,"Delta X",0,0,0,0,,
8605,2,CsMap,151,"Delta X",0,0,0,0,,
8605,2,OCR,0,"X_Axis_Translation",0,0,0,0,,
8605,2,GeoTiff,0,"X_Axis_Translation",0,0,0,0,,
8606,2,EPSG,8606,"Y-axis translation",0,0,0,0,,
8606,2,ESRI,0,"Y_Axis_Translation",0,0,0,0,,
8606,2,Oracle,0,"Y Axis Translation",0,0,0,0,,
8606,2,Autodesk,0,"Delta Y",0,0,0,0,,
8606,2,CsMap,152,"Delta Y",0,0,0,0,,
8606,2,OCR,0,"Y_Axis_Translation",0,0,0,0,,
8606,2,GeoTiff,0,"Y_Axis_Translation",0,0,0,0,,
8607,2,EPSG,8607,"Z-axis translation",0,0,0,0,,
8607,2,ESRI,0,"Z_Axis_Translation",0,0,0,0,,
8607,2,Oracle,0,"Z Axis Translation",0,0,0,0,,
8607,2,Autodesk,0,"Delta Z",0,0,0,0,,
8607,2,CsMap,153,"Delta Z",0,0,0,0,,
8607,2,OCR,0,"Z_Axis_Translation",0,0,0,0,,
8607,2,GeoTiff,0,"Z_Axis_Translation",0,0,0,0,,
8608,2,EPSG,8608,"X-axis rotation",0,0,0,0,,
8608,2,ESRI,0,"X_Axis_Rotation",0,0,0,0,,
8608,2,Oracle,0,"X Axis Rotation",0,0,0,0,,
8608,2,Autodesk,0,"Rotate X",0,0,0,0,,
8608,2,CsMap,154,"Rotate X",0,0,0,0,,
8608,2,OCR,0,"X_Axis_Rotation",0,0,0,0,,
8608,2,GeoTiff,0,"X_Axis_Rotation",0,0,0,0,,
8609,2,EPSG,8609,"Y-axis rotation",0,0,0,0,,
8609,2,ESRI,0,"Y_Axis_Rotation",0,0,0,0,,
8609,2,Oracle,0,"Y Axis Rotation",0,0,0,0,,
8609,2,Autodesk,0,"Rotate Y",0,0,0,0,,
8609,2,CsMap,155,"Rotate Y",0,0,0,0,,
8609,2,OCR,0,"Y_Axis_Rotation",0,0,0,0,,
8609,2,GeoTiff,0,"Y_Axis_Rotation",0,0,0,0,,
8610,2,EPSG,8610,"Z-axis rotation",0,0,0,0,,
8610,2,ESRI,0,"Z_Axis_Rotation",0,0,0,0,,
8610,2,Oracle,0,"Z Axis Rotation",0,0,0,0,,
8610,2,Autodesk,0,"Rotate Z",0,0,0,0,,
8610,2,CsMap,156,"Rotate Z",0,0,0,0,,
8610,2,OCR,0,"Z_Axis_Rotation",0,0,0,0,,
8610,2,GeoTiff,0,"Z_Axis_Rotation",0,0,0,0,,
8611,2,EPSG,8611,"Scale difference",0,0,0,0,,
8611,2,ESRI,0,"Scale_Difference",0,0,0,0,,
8611,2,Oracle,0,"Scale Difference",0,0,0,0,,
